Rank,State or union territory,Population,Population (%),Decadal growth(2001–2011),Rural population,Percent rural,Urban population,Percent urban,Area[16],Density[a],Culture
1,Uttar Pradesh,199812341,,20.20%,155317278,,44495063,,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)","Diverse culture with Kathak dance, Lucknowi Chikan embroidery, and grand celebrations of Diwali and Holi."
2,Maharashtra,112374333,,20.00%,61556074,,50818259,,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),"Known for Lavani dance, Ganesh Chaturthi festival, and vibrant street food like Vada Pav."
3,Bihar,104099452,,25.40%,92341436,,11758016,,"94,163 km2 (36,357 sq mi)","1,102/km2 (2,850/sq mi)","Famous for classical music, Madhubani paintings, and festivals like Chhath Puja."
4,West Bengal,91276115,,13.80%,62183113,,29093002,,"88,752 km2 (34,267 sq mi)","1,029/km2 (2,670/sq mi)","Cultural hub with Rabindra Sangeet, Durga Puja celebrations, and literary contributions by Rabindranath Tagore."
5,Madhya Pradesh,72626809,,16.30%,52557404,,20069405,,"308,245 km2 (119,014 sq mi)",236/km2 (610/sq mi),"Rich in tribal art like Gond paintings, festivals like Bhagoria, and natural reserves."
6,Tamil Nadu,72147030,,15.60%,37229590,,34917440,,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)","Home to Bharatanatyam dance, classical Carnatic music, Pongal festival, and Dravidian architecture."
7,Rajasthan,68548437,,21.30%,51500352,,17048085,,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),"Renowned for its traditional Rajasthani folk music, Ghoomar dance, and colorful festivals like Pushkar Fair."
8,Karnataka,61095297,,15.60%,37469335,,23625962,,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),"Famous for classical Carnatic music, Yakshagana dance-drama, and festivals like Mysuru Dasara."
9,Gujarat,60439692,,19.30%,34694609,,25745083,,"196,024 km2 (75,685 sq mi)",308/km2 (800/sq mi),"Famous for Garba and Dandiya Raas dance, Kite Festival, and exquisite handicrafts like Bandhani."
10,Andhra Pradesh,49577103,,11.00%,34966693,,14610410,,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),"Famous for Kuchipudi dance, Tirupati Temple, and Telugu literature."
11,Odisha,41974219,,14.00%,34970562,,7003656,,"155,707 km2 (60,119 sq mi)",269/km2 (700/sq mi),"Renowned for Odissi dance, Jagannath Rath Yatra, and beautiful applique work (Pipili)."
12,Telangana,35003674,,13.58%,21395009,,13608665,,"112,077 km2 (43,273 sq mi)",312/km2 (810/sq mi),"Known for its Bonalu festival, Pochampally sarees, and ancient architecture like the Charminar."
13,Kerala,33406061,,4.90%,17471135,,15934926,,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)","Known for Kathakali and Mohiniyattam dance, Onam festival, and its unique Ayurveda heritage."
